outcome,n_trials,n_people,n_tasks,split_half_mean,split_half_p05,split_half_p50,split_half_p95,spearman_brown_mean
human_final,12138,199,75,0.8084265640458626,0.7676580008172055,0.8111643537447821,0.8446145846546141,0.8938534156898692
human_first,12138,199,75,0.7735793821804446,0.7290339760047051,0.7749876983457132,0.8128864434544515,0.8720929554548746
