detectors,tasks,standalone_accuracy,act_coverage_nfit_ge_1,act_precision_nfit_ge_1,wrong_autonomous_acts_nfit_ge_1
15,75,0.08,0.08,1.0,0
40,75,0.12,0.12,1.0,0
80,75,0.14666666666666667,0.14666666666666667,1.0,0
120,75,0.17333333333333334,0.17333333333333334,1.0,0
180,75,0.22666666666666666,0.22666666666666666,1.0,0
240,75,0.26666666666666666,0.26666666666666666,1.0,0
321,75,0.3333333333333333,0.49333333333333335,0.6756756756756757,12
