metric,mean,sd,p05,p50,p95,n_seeds
r_baseline_gain_raw,-0.20224359880077206,0.019317378342809464,-0.23828483010843535,-0.20151702612057715,-0.16864570277886995,100
r_baseline_gain_taskFE,-0.1842873225782321,0.019550472126732533,-0.22061228726972346,-0.1834502688518701,-0.15043865330429487,100
r_baseline_correct_uptake_taskFE,-0.12765421918749204,0.014790509738807009,-0.1511715972684371,-0.12699520998598363,-0.10340704898619753,100
r_baseline_wrong_resistance_taskFE,0.159907625068416,0.024415587871207695,0.11781378911099832,0.15692766004579575,0.20485635907383623,100
r_baseline_bad_switch_taskFE,-0.159907625068416,0.024415587871207692,-0.20485635907383629,-0.15692766004579572,-0.11781378911099832,100
r_baseline_selectivity_taskFE,0.01366006080557556,0.03887100159849782,-0.03492817725680131,0.007273975639913999,0.07474833751886752,100
